mood,sleep_hours,focus_level,task_type,music_type,productivity_score
happy,8.8,8,coding,instrumental,90
stressed,4.8,7,routine,lyrical,40
stressed,6.5,4,routine,lofi,28
calm,7.4,10,coding,lofi,100
calm,7.7,7,routine,lyrical,80
sad,3.4,10,routine,silence,50
calm,8.6,8,creative,instrumental,90
calm,7.7,10,coding,instrumental,100
happy,5.5,9,routine,lyrical,87
sad,6.3,10,routine,lyrical,88
happy,4.7,8,coding,instrumental,65
anxious,7.4,6,creative,silence,56
sad,7.6,10,creative,instrumental,88
happy,4.2,10,coding,lofi,65
sad,8.7,5,coding,silence,38
sad,5.7,4,routine,lofi,23
calm,5.0,7,creative,lofi,75
happy,3.4,2,creative,instrumental,8
calm,4.5,6,coding,instrumental,65
calm,7.7,3,coding,silence,48
stressed,5.3,10,coding,lyrical,59
sad,8.5,10,study,lofi,91
stressed,7.7,9,study,lofi,78
happy,8.4,9,coding,lofi,98
calm,4.7,3,coding,silence,33
sad,7.1,2,study,lofi,11
stressed,3.6,6,study,lofi,23
anxious,5.8,8,study,instrumental,62
sad,5.4,5,study,silence,30
sad,8.7,5,routine,lofi,41
calm,8.4,7,routine,lyrical,80
happy,6.7,8,coding,lofi,88
stressed,8.8,6,study,instrumental,45
anxious,6.5,2,routine,lofi,13
anxious,7.4,6,coding,silence,46
stressed,3.8,7,coding,lofi,23
stressed,6.4,6,study,silence,51
sad,6.0,2,creative,silence,8
calm,6.4,10,routine,instrumental,100
sad,8.6,10,coding,instrumental,93
calm,5.9,1,routine,instrumental,12
sad,3.6,6,routine,lofi,26
stressed,7.8,7,study,instrumental,55
calm,3.6,6,creative,lyrical,45
stressed,5.0,1,creative,lyrical,0
happy,4.9,3,creative,lyrical,28
stressed,4.0,8,study,lofi,53
sad,6.1,10,creative,silence,88
happy,5.4,10,creative,instrumental,100
anxious,4.5,5,routine,lyrical,25
sad,6.8,7,study,instrumental,58
sad,7.5,5,routine,silence,38
anxious,6.3,2,coding,lyrical,0
calm,6.4,3,routine,lyrical,40
sad,7.2,8,study,lyrical,68
stressed,8.3,1,creative,instrumental,0
sad,5.2,8,coding,lyrical,52
happy,7.0,7,coding,lyrical,67
calm,4.4,5,creative,instrumental,45
calm,5.4,2,routine,lofi,25
happy,6.4,7,study,lofi,78
calm,4.5,1,routine,lyrical,5
happy,6.1,8,coding,lofi,88
sad,5.6,9,study,instrumental,70
happy,5.3,4,routine,lyrical,37
stressed,8.3,2,creative,instrumental,5
stressed,3.6,9,coding,lyrical,32
anxious,4.7,9,creative,instrumental,65
sad,5.6,7,study,lofi,53
happy,8.9,4,creative,lofi,56
calm,7.9,1,study,lyrical,20
sad,8.6,9,routine,silence,78
stressed,5.5,2,coding,silence,0
calm,5.1,1,coding,silence,20
calm,8.4,7,routine,lyrical,80
sad,3.2,9,routine,silence,50
calm,3.5,8,study,silence,50
anxious,8.1,10,coding,instrumental,85
sad,7.0,2,coding,lyrical,0
calm,6.1,2,routine,lyrical,30
sad,7.6,10,coding,lofi,91
happy,5.2,6,creative,instrumental,65
sad,3.8,9,creative,instrumental,50
anxious,8.4,9,creative,silence,86
sad,6.8,10,coding,silence,88
happy,5.4,3,routine,lyrical,27
stressed,3.3,2,routine,instrumental,0
calm,5.1,7,coding,lofi,83
stressed,3.7,1,coding,instrumental,0
anxious,4.8,7,creative,lofi,48
happy,3.0,7,creative,lyrical,50
happy,8.1,6,coding,lofi,68
anxious,8.0,7,study,silence,66
calm,7.2,8,study,silence,90
anxious,5.5,10,study,lyrical,82
anxious,4.7,5,study,instrumental,25
happy,6.8,2,routine,lofi,28
stressed,4.9,9,coding,lofi,53
calm,6.1,2,coding,instrumental,43
calm,8.1,6,study,instrumental,70
happy,7.8,8,coding,lofi,88
happy,3.4,8,study,instrumental,50
stressed,7.5,10,creative,lofi,88
anxious,3.9,3,routine,lofi,0
happy,6.3,5,study,silence,55
calm,3.6,10,routine,lofi,50
calm,7.2,9,routine,silence,100
sad,6.8,4,study,lyrical,28
stressed,8.9,6,routine,lofi,48
anxious,4.4,2,creative,lyrical,0
sad,5.0,5,coding,instrumental,35
anxious,4.7,2,creative,instrumental,0
sad,5.8,1,study,lofi,0
anxious,6.3,2,study,lofi,13
happy,8.4,1,coding,lyrical,7
happy,9.0,5,study,silence,55
sad,8.5,1,coding,lofi,1
stressed,9.0,9,routine,instrumental,75
calm,4.7,2,routine,instrumental,15
stressed,3.5,6,routine,instrumental,20
calm,5.5,5,creative,lyrical,52
stressed,7.1,4,routine,lofi,28
anxious,3.6,7,study,lofi,38
stressed,8.8,2,study,silence,11
sad,5.2,9,study,lyrical,70
happy,6.6,3,coding,lyrical,27
sad,7.5,5,study,instrumental,38
sad,7.0,2,routine,lofi,11
anxious,3.2,7,study,instrumental,35
calm,3.8,5,coding,instrumental,48
stressed,4.0,4,study,lyrical,10
calm,5.3,6,routine,silence,62
calm,4.8,2,coding,silence,23
anxious,4.6,2,coding,instrumental,0
stressed,4.3,5,creative,instrumental,20
sad,6.1,3,coding,lofi,21
sad,6.3,6,creative,instrumental,48
calm,4.2,4,creative,instrumental,35
anxious,8.0,4,creative,instrumental,30
sad,4.3,6,routine,lofi,36
anxious,3.0,5,coding,lyrical,0
happy,6.9,9,coding,silence,95
calm,6.7,1,routine,instrumental,20
calm,3.2,10,creative,silence,50
calm,6.1,8,creative,lofi,93
calm,8.5,9,routine,lofi,100
anxious,5.2,3,study,silence,18
stressed,3.2,6,routine,instrumental,20
sad,3.4,6,routine,instrumental,23
happy,7.6,10,routine,lyrical,100
stressed,9.0,4,study,instrumental,25
anxious,3.9,3,study,lyrical,0
happy,4.6,10,coding,lofi,65
calm,7.8,2,routine,lyrical,30
calm,8.3,5,coding,lyrical,60
anxious,4.5,3,creative,lyrical,5
stressed,6.8,7,coding,lyrical,37
anxious,7.3,5,coding,silence,36
calm,6.7,9,routine,silence,100
stressed,4.4,1,routine,instrumental,0
calm,3.4,7,coding,instrumental,50
calm,3.8,10,creative,lofi,50
sad,7.9,7,study,lyrical,58
sad,3.6,1,creative,lyrical,0
anxious,8.9,4,creative,instrumental,30
sad,7.9,10,study,instrumental,88
calm,4.5,9,study,silence,65
calm,7.8,7,creative,lyrical,80
sad,6.8,7,routine,silence,58
stressed,3.6,7,routine,lofi,33
anxious,4.3,7,creative,lyrical,45
calm,8.9,3,study,lyrical,40
happy,8.7,5,routine,silence,55
happy,6.5,6,study,instrumental,65
anxious,5.7,1,study,instrumental,0
happy,6.4,2,study,lofi,28
anxious,4.4,8,routine,lyrical,55
happy,4.3,2,coding,lyrical,2
sad,6.9,2,study,lofi,11
stressed,6.1,8,coding,silence,61
anxious,3.6,9,coding,lofi,48
anxious,6.3,9,creative,instrumental,80
calm,7.4,5,creative,lyrical,60
sad,8.7,3,creative,lofi,21
anxious,6.8,1,study,lyrical,0
calm,5.9,10,creative,instrumental,100
stressed,5.9,3,study,silence,13
stressed,3.1,4,creative,lyrical,0
sad,7.9,3,coding,lofi,21
sad,4.2,8,study,silence,53
calm,4.7,3,creative,instrumental,25
calm,7.3,1,routine,instrumental,20
calm,5.0,9,creative,lyrical,92
anxious,4.8,4,study,instrumental,15
happy,5.4,6,routine,silence,57
calm,7.4,2,creative,silence,30
happy,4.5,6,study,instrumental,50
calm,4.0,3,study,lofi,28
stressed,4.0,3,creative,lofi,3
calm,8.5,5,creative,lyrical,60
sad,7.0,9,study,lyrical,78
calm,3.7,8,routine,lofi,50
calm,5.4,4,routine,lyrical,42
calm,3.6,1,creative,instrumental,0
happy,3.0,4,creative,instrumental,28
anxious,8.5,3,study,lofi,23
stressed,5.1,9,study,lyrical,67
calm,8.3,10,coding,instrumental,100
anxious,7.0,7,study,lofi,63
sad,5.1,1,study,silence,0
sad,8.9,7,routine,silence,58
calm,3.1,9,routine,silence,50
anxious,5.9,10,creative,instrumental,82
stressed,5.4,4,coding,lyrical,0
happy,3.7,2,study,lyrical,0
anxious,8.3,5,routine,silence,46
stressed,5.9,9,creative,silence,73
calm,7.3,2,routine,silence,30
sad,7.7,1,coding,instrumental,3
calm,4.9,1,coding,lofi,16
calm,8.2,8,routine,lyrical,90
anxious,6.3,3,routine,instrumental,20
calm,5.6,5,coding,lyrical,52
anxious,7.3,7,study,instrumental,60
sad,3.2,2,creative,silence,0
stressed,4.8,10,coding,lofi,63
calm,4.6,8,study,lofi,65
happy,8.5,7,study,lyrical,75
anxious,7.8,5,creative,instrumental,40
happy,4.2,6,creative,silence,58
happy,4.7,6,coding,lofi,53
stressed,7.1,3,study,silence,21
happy,5.4,9,study,lyrical,87
stressed,8.3,3,coding,lyrical,0
sad,4.8,5,routine,silence,23
anxious,5.6,1,creative,instrumental,0
anxious,3.5,6,routine,lofi,28
happy,7.2,10,creative,lofi,100
sad,8.8,5,study,lofi,41
anxious,5.4,9,creative,lyrical,72
sad,7.1,1,creative,lofi,1
happy,6.0,5,coding,silence,55
calm,6.0,6,routine,lofi,73
anxious,3.6,5,coding,lyrical,0
happy,7.1,3,routine,instrumental,35
sad,3.5,6,study,lofi,26
stressed,8.5,7,routine,lyrical,55
anxious,6.0,6,routine,lofi,53
happy,5.8,2,routine,instrumental,17
sad,6.8,1,routine,instrumental,0
calm,6.0,9,routine,lofi,100
happy,4.2,2,routine,lyrical,10
anxious,7.1,7,routine,instrumental,60
stressed,7.4,5,routine,lofi,38
stressed,6.1,3,study,lyrical,15
calm,6.3,2,study,lyrical,30
happy,6.6,1,routine,lyrical,15
anxious,8.0,4,study,lofi,33
happy,8.8,8,study,lofi,88
happy,8.5,1,routine,instrumental,15
sad,8.2,9,routine,lyrical,78
stressed,6.3,9,coding,silence,71
calm,3.3,7,creative,instrumental,50
happy,4.7,6,study,lofi,53
anxious,6.3,5,routine,instrumental,40
anxious,7.0,7,routine,lyrical,60
calm,8.4,4,routine,lyrical,50
stressed,8.9,8,routine,lyrical,65
happy,3.4,3,creative,lofi,21
calm,3.2,3,study,instrumental,15
anxious,8.2,2,study,lofi,13
sad,5.6,1,creative,silence,0
happy,3.9,3,creative,lofi,21
calm,6.5,8,creative,instrumental,90
stressed,3.7,8,coding,lyrical,22
stressed,4.4,2,routine,lyrical,0
sad,8.4,5,routine,lofi,41
sad,6.1,7,study,silence,58
calm,7.7,6,routine,lofi,73
stressed,5.1,5,study,silence,33
stressed,5.5,6,study,lofi,40
anxious,7.3,9,coding,lyrical,62
calm,4.1,10,creative,lyrical,65
anxious,5.4,4,study,lofi,25
calm,6.2,1,routine,lyrical,20
anxious,4.4,5,creative,lofi,28
calm,6.7,3,study,lofi,43
calm,5.7,3,creative,silence,32
happy,5.9,1,coding,lyrical,0
stressed,7.6,6,coding,instrumental,40
sad,8.7,2,creative,lofi,11
happy,3.9,1,study,lofi,0
anxious,8.3,9,study,instrumental,80
calm,4.4,2,creative,instrumental,15
happy,8.4,8,creative,instrumental,93
happy,4.5,4,coding,silence,30
stressed,8.6,3,study,lofi,18
calm,3.6,8,study,lofi,50
sad,3.3,7,routine,lyrical,33
calm,3.6,6,creative,silence,45
calm,5.9,4,creative,lofi,45
sad,4.7,2,creative,lofi,0
sad,3.2,3,study,instrumental,0
anxious,3.2,8,routine,silence,50
calm,8.6,9,routine,instrumental,100
happy,4.2,6,coding,instrumental,55
happy,4.1,4,creative,instrumental,38
calm,7.2,8,creative,lofi,93
happy,5.7,2,creative,silence,25
stressed,6.3,7,creative,instrumental,55
stressed,3.9,10,creative,instrumental,50
anxious,7.9,3,routine,lyrical,20
sad,8.4,4,study,silence,28
happy,5.8,5,coding,lyrical,39
stressed,3.1,6,coding,lyrical,2
happy,7.9,2,study,lofi,28
calm,8.0,2,creative,instrumental,30
sad,8.8,2,creative,lofi,11
calm,7.8,3,coding,lyrical,40
anxious,5.1,8,coding,silence,58
happy,5.4,10,routine,instrumental,97
calm,8.2,3,routine,instrumental,40
happy,3.3,1,routine,instrumental,0
anxious,7.8,4,coding,silence,26
calm,5.0,6,creative,silence,62
sad,8.3,10,routine,silence,88
anxious,3.5,8,routine,instrumental,45
calm,5.1,7,study,silence,72
calm,5.6,6,coding,lofi,73
anxious,7.0,3,routine,lofi,23
stressed,7.0,10,creative,instrumental,85
sad,4.8,10,coding,lyrical,65
stressed,6.3,6,coding,silence,41
stressed,6.0,2,coding,lyrical,0
calm,4.4,1,coding,lyrical,5
sad,5.2,5,study,lyrical,30
stressed,5.1,1,creative,lofi,0
anxious,4.5,1,study,silence,0
anxious,7.4,3,study,lyrical,20
stressed,3.3,8,creative,lofi,43
sad,6.2,4,routine,lofi,31
stressed,8.3,8,coding,lyrical,47
anxious,3.7,5,study,instrumental,15
anxious,6.0,7,coding,instrumental,55
anxious,7.2,10,coding,silence,86
sad,5.7,5,study,lyrical,30
anxious,5.8,5,coding,silence,28
happy,5.7,5,creative,lyrical,55
anxious,4.7,6,study,silence,41
calm,4.3,10,creative,instrumental,65
stressed,8.0,1,study,silence,1
sad,7.5,7,study,lofi,61
anxious,5.5,1,routine,lofi,0
happy,3.7,8,routine,lyrical,50
sad,3.8,10,study,instrumental,50
calm,5.4,8,coding,lyrical,82
calm,3.7,2,creative,lofi,8
stressed,3.2,5,routine,instrumental,10
happy,7.7,9,coding,lofi,98
stressed,7.1,4,routine,silence,31
sad,6.0,8,routine,lyrical,68
stressed,5.7,5,coding,instrumental,22
sad,4.8,1,routine,lyrical,0
calm,5.7,3,coding,instrumental,45
sad,5.8,6,coding,silence,40
stressed,8.5,4,routine,silence,31
calm,3.1,10,coding,lyrical,50
stressed,7.0,6,routine,instrumental,45
stressed,6.6,2,routine,lofi,8
sad,5.6,10,study,lyrical,80
happy,4.1,3,study,lyrical,20
stressed,5.1,3,study,lofi,10
anxious,8.3,7,study,lofi,63
calm,8.7,9,routine,lofi,100
anxious,4.3,8,routine,instrumental,55
calm,3.1,3,creative,silence,15
stressed,8.2,2,routine,lyrical,5
happy,4.9,5,study,lofi,43
happy,7.1,6,study,lofi,68
anxious,4.3,6,creative,silence,41
happy,8.5,3,routine,lofi,38
sad,4.6,8,coding,silence,53
happy,6.9,1,study,instrumental,15
sad,5.4,7,coding,instrumental,55
stressed,3.3,1,coding,lofi,0
calm,8.5,8,routine,silence,90
anxious,8.5,10,routine,lyrical,90
happy,8.1,10,routine,lyrical,100
calm,4.9,10,study,silence,65
happy,5.1,4,routine,lofi,40
stressed,5.5,1,routine,silence,0
anxious,8.0,1,study,instrumental,0
calm,3.4,2,creative,silence,5
happy,8.4,3,routine,silence,35
anxious,5.6,1,routine,instrumental,0
sad,8.5,10,study,lyrical,88
calm,6.7,2,coding,lyrical,30
happy,8.9,6,coding,lyrical,57
calm,4.8,10,creative,lofi,65
anxious,3.2,9,coding,lyrical,37
anxious,6.1,1,routine,silence,6
calm,8.4,10,routine,silence,100
anxious,4.4,4,routine,instrumental,15
anxious,7.0,10,coding,lyrical,72
calm,8.1,7,creative,instrumental,80
anxious,8.9,1,creative,lofi,3
anxious,3.5,7,study,lyrical,35
stressed,5.3,3,creative,lyrical,7
calm,7.8,4,coding,lofi,61
anxious,6.5,3,coding,instrumental,15
anxious,4.7,10,coding,instrumental,65
calm,8.4,6,routine,silence,70
sad,8.1,3,study,lofi,21
happy,7.5,2,creative,instrumental,33
anxious,6.1,9,coding,lofi,73
stressed,7.2,8,study,lyrical,65
happy,8.2,5,study,lyrical,55
sad,7.0,1,routine,instrumental,0
anxious,5.5,2,coding,silence,0
sad,3.6,1,routine,instrumental,0
sad,4.9,7,routine,silence,43
calm,6.7,7,routine,lyrical,80
calm,5.2,3,routine,silence,32
happy,8.7,2,coding,instrumental,30
calm,7.8,6,routine,lyrical,70
anxious,4.1,2,study,lofi,0
happy,3.4,3,creative,lofi,21
anxious,4.6,5,coding,lyrical,7
calm,7.5,2,coding,lofi,41
sad,6.5,2,study,lyrical,8
stressed,8.6,9,study,instrumental,75
stressed,4.6,10,routine,silence,65
anxious,3.6,10,study,lofi,50
calm,4.0,3,creative,instrumental,25
happy,3.7,4,coding,instrumental,25
anxious,4.9,8,creative,instrumental,55
stressed,4.3,3,coding,lofi,0
happy,5.1,4,routine,silence,37
anxious,5.6,10,study,silence,88
sad,4.9,8,routine,instrumental,53
sad,7.9,4,creative,lyrical,28
happy,7.2,3,study,instrumental,35
sad,5.6,10,creative,silence,80
calm,7.8,6,study,lofi,73
calm,6.3,6,routine,silence,70
anxious,7.1,2,study,lofi,13
sad,7.4,10,creative,lofi,91
anxious,8.6,9,coding,lyrical,62
sad,3.5,3,creative,instrumental,0
happy,5.9,1,study,lyrical,7
sad,7.7,6,creative,lyrical,48
calm,3.6,7,coding,lofi,50
happy,4.9,4,study,instrumental,30
happy,3.2,2,creative,lyrical,8
stressed,9.0,9,study,lyrical,75
calm,9.0,4,study,instrumental,50
happy,7.7,3,coding,lyrical,27
happy,4.0,7,creative,lyrical,65
stressed,3.9,6,study,instrumental,20
happy,7.8,4,routine,instrumental,45
stressed,4.6,9,study,lofi,63
stressed,4.3,8,coding,lyrical,32
sad,3.9,9,study,lofi,50
anxious,3.3,2,routine,instrumental,0
sad,3.3,1,study,silence,0
anxious,5.5,1,creative,lofi,0
sad,4.2,9,creative,lyrical,63
calm,6.6,1,creative,lofi,23
happy,7.3,8,creative,silence,93
happy,7.8,2,study,silence,25
happy,6.0,8,coding,instrumental,90
anxious,4.1,10,creative,silence,65
calm,4.0,4,coding,silence,43
calm,7.7,6,coding,lyrical,70
happy,8.9,2,routine,lofi,28
stressed,4.5,8,study,lofi,53
happy,6.7,8,routine,lofi,88
stressed,4.0,1,routine,silence,0
stressed,7.4,6,study,silence,51
sad,3.6,3,coding,lofi,0
stressed,3.2,9,routine,instrumental,50
calm,7.4,3,study,lyrical,40
sad,3.8,9,routine,silence,50
sad,8.9,9,creative,silence,78
sad,3.8,7,creative,instrumental,33
calm,7.1,2,creative,lyrical,30
sad,5.2,2,coding,silence,0
sad,7.0,8,coding,lyrical,60
calm,5.4,9,creative,instrumental,92
happy,8.8,3,coding,instrumental,40
stressed,7.4,8,coding,lofi,58
sad,4.5,1,creative,instrumental,0
calm,8.5,4,coding,lyrical,50
sad,6.6,9,creative,lofi,81
calm,8.6,8,coding,lyrical,90
stressed,4.6,9,coding,lofi,53
calm,4.1,2,creative,lyrical,15
calm,6.8,1,study,lofi,23
